Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,'Treated like dogs': Italy's Roma minority on society's fringe https://t.co/vcD57yX2Vt,Fri Jun 29 00:40:19 +0000 2018,0.3612,0.217,0.783,0.0,1
@BBCWorld,"Terrace House: Japan's nice, calm Love Island alternative https://t.co/VbfdD7ncI7",Fri Jun 29 00:27:10 +0000 2018,0.8519,0.608,0.392,0.0,2
@BBCWorld,Africa's week in pictures: 22-28 June 2018 https://t.co/jRuGkbD5oP,Fri Jun 29 00:10:52 +0000 2018,0.0,0.0,1.0,0.0,3
@BBCWorld,Annapolis shooting: How journalists tweeted their ordeal https://t.co/W6ScEGVSB6,Thu Jun 28 22:49:29 +0000 2018,0.0,0.0,1.0,0.0,4
@BBCWorld,"RT @BBCBreaking: Several people dead in shooting at newspaper building in US city of Annapolis in Maryland, officials confirm https://t.co/…",Thu Jun 28 20:44:06 +0000 2018,-0.6486,0.0,0.815,0.185,5
@BBCWorld,"RT @BBCSport: FT: #PAN 1-2 #TUN

33' ⚽ Yassine Meriah (OG)
51' ⚽ Ben Youssef
66' ⚽ Khazri

Tunisia come from behind to take third place in…",Thu Jun 28 19:59:36 +0000 2018,0.0,0.0,1.0,0.0,6
@BBCWorld,"RT @BBCSport: And here it is, your #WorldCup last-16 draw in full...

30th June: 
3pm: #FRA v #ARG
7pm: #URU v #POR 

1st July:
3pm: #ESP v…",Thu Jun 28 19:50:59 +0000 2018,0.0,0.0,1.0,0.0,7
@BBCWorld,"RT @BBCSport: FT: #ENG 0-1 #BEL 

Adnan Januzaj's goal means England finish second in the group.

Reaction: https://t.co/2nqcGRunPa 

#Worl…",Thu Jun 28 19:50:37 +0000 2018,0.0,0.0,1.0,0.0,8
@BBCWorld,Police confirm 'shooting incident' at Maryland newspaper office https://t.co/Q1EiArPbPP,Thu Jun 28 19:43:43 +0000 2018,0.0,0.0,1.0,0.0,9
@BBCWorld,Women fear abortion rights under threat https://t.co/t1YfZwmiE7,Thu Jun 28 18:57:43 +0000 2018,-0.765,0.0,0.431,0.569,10
@BBCWorld,Charlottesville car attack suspect charged with hate crime https://t.co/ROd3zhcLnL,Thu Jun 28 16:42:58 +0000 2018,-0.9231,0.0,0.219,0.781,11
@BBCWorld,In pictures: Despair as Senegal crash out of World Cup https://t.co/ckvsnJJHL9,Thu Jun 28 16:21:29 +0000 2018,-0.6124,0.0,0.643,0.357,12
@BBCWorld,Reality Check: Which countries have military service? https://t.co/wcT7v2ZI0q,Thu Jun 28 16:06:48 +0000 2018,0.0,0.0,1.0,0.0,13
@BBCWorld,"RT @BBCAfrica: For months now, horrific images have been pouring out of Cameroon on social media. Killings. Torture. Villages on fire.

#BB…",Thu Jun 28 16:03:03 +0000 2018,-0.9451,0.0,0.542,0.458,14
@BBCWorld,"RT @BBCAfrica: FT  #SEN 0-1 #COL

Heartbreak for Africa :( 

The continent's last hope is out of the #WorldCup

https://t.co/GGv9T2q7zj

#B…",Thu Jun 28 15:56:37 +0000 2018,-0.5719,0.105,0.655,0.24,15
@BBCWorld,"RT @BBC_HaveYourSay: 🦄☕️🚗🌈🤔
https://t.co/RfEUfsup7c",Thu Jun 28 15:26:28 +0000 2018,0.0,0.0,1.0,0.0,16
@BBCWorld,"RT @BBCSport: GOAL!

Jan Bednarek slots in the opener and suddenly, as it stands, Japan are going out! 

#JPN 0-1 #POL 

Live: https://t.co…",Thu Jun 28 15:23:00 +0000 2018,0.0,0.0,1.0,0.0,17
@BBCWorld,Banning the Uluru climb: 'This rock means everything to us' https://t.co/pg9bZZ4Tch,Thu Jun 28 15:16:20 +0000 2018,0.0,0.0,1.0,0.0,18
@BBCWorld,"RT @BBCSport: HT: #SEN 0-0 #COL 

No goals yet with Davinson Sanchez's tackle on Sadio Mane inside the penalty area the main talking point…",Thu Jun 28 14:49:50 +0000 2018,-0.6369,0.0,0.809,0.191,19
@BBCWorld,"RT @BBCSport: HT: #JPN 0-0 #POL 

Poland came closest with a header - other than that, not much has happened, which suits Japan for now!

L…",Thu Jun 28 14:48:42 +0000 2018,0.0,0.0,1.0,0.0,20
@BBCWorld,"RT @BBCNews: Belgium PM @CharlesMichel presents UK PM @theresa_may with Belgian football shirt ahead of #ENGBEL #WorldCup 

https://t.co/cn…",Thu Jun 28 14:18:11 +0000 2018,0.0,0.0,1.0,0.0,21
@BBCWorld,Syria war: Air strike on Deraa shelter kills 17 civilians https://t.co/9rygwWkJis,Thu Jun 28 14:07:47 +0000 2018,-0.836,0.0,0.473,0.527,22
@BBCWorld,Farmer finds prehistoric gold artefacts in Donegal. https://t.co/Ws3NMT0eOA,Thu Jun 28 14:02:58 +0000 2018,0.0,0.0,1.0,0.0,23
@BBCWorld,"RT @BBCSport: #JPNPOL is underway! ⚽

The pressure is off Poland, so will they finish with a flourish?

Or will Japan hold onto top spot?…",Thu Jun 28 14:02:47 +0000 2018,-0.2621,0.065,0.832,0.103,24
@BBCWorld,"RT @BBCSport: KICK-OFF!

#SEN v #COL is underway with both teams potential opponents for #ENG in the last-16 of the #WorldCup

Follow the a…",Thu Jun 28 14:02:23 +0000 2018,0.0,0.0,1.0,0.0,25
@BBCWorld,RT @BBCNews: ⚽ #ENGBEL https://t.co/vDqRXYrpYT,Thu Jun 28 14:01:51 +0000 2018,0.0,0.0,1.0,0.0,26
@BBCWorld,Irish PM will not prepare for hard border ahead of Brexit https://t.co/2zQipHAHFr,Thu Jun 28 13:55:13 +0000 2018,0.0762,0.105,0.895,0.0,27
@BBCWorld,"""I want to see myself among the great artists in museums""

The 10-year-old inspired by Michelangelo and Arinze Stan… https://t.co/MeI3Ch7XSE",Thu Jun 28 13:49:04 +0000 2018,0.8225,0.336,0.664,0.0,28
@BBCWorld,China caps film stars' pay over 'money worship and tax evasion' https://t.co/rTMRIx7Xta,Thu Jun 28 13:34:46 +0000 2018,0.2023,0.162,0.735,0.103,29
